광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,광고 클러스터,추천 유형
삼성 비스포크 에어드레서 : 비스포크 에어드레서로 돌리다-AI #2,2021-02-15,30.0,가정용전기전자,가사용전기전자,의류관리기,삼성전자(주),(주)제일기획,로켓,0,중업종 기반
WAVVE 본편소재,2019-09-17,15.0,컴퓨터및정보통신,통신정보서비스,모바일콘텐츠서비스,콘텐츠연합플랫폼(주),(주)옵티멈미디어코리아,주식회사 쏠트,1,중업종 기반
현대자동차 밤낚시 : 단독 개봉편,2024-05-29,15.0,서비스,문화및공연,영화,현대자동차(주),(주)이노션,주식회사 이노션,2,중업종 기반
오뚜기 피자(2017),2017-04-28,15.0,식품,제빵,"햄버거,피자및샌드위치",(주)오뚜기,(주)애드리치,애드리치,3,중업종 기반
에스케이브로드밴드 b tv x 넷플릭스 : 영희지옥편,2024-06-27,15.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스기타,에스케이브로드밴드주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,4,중업종 기반
에이블리_런칭편(자막수정)_15,2021-04-19,15.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스기타,(주)에이블리코퍼레이션,(주)대홍기획,아크프로덕션,5,중업종 기반
매스프레소_콴다과외 : 잠들어 있는 성적 편_15,2023-01-06,15.0,교육및복지후생,교육기관,교육기관기타,(주)매스프레소,(주)오버맨,(주)오버맨,6,중업종 기반
울산중구청 중구 홍보 : 새로운 시작편,2023-07-12,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,울산중구청,nan,nan,7,중업종 기반
엘지유플러스 우리가게패키지 : [ U+우리가게패키지 ] 우리가게 든든하게!_토마토세븐편,2021-11-16,15.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스제품종합,(주)엘지유플러스,(주)오리콤,(주)오리콤,8,중업종 기반
에스케이텔레콤 SKT 기업PR : 에이닷편,2023-03-24,60.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스제품종합,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,9,중업종 기반
케이티 삼성전자(공동)_갤럭시 S22:케이티로 초이스편_30,2022-02-14,30.0,컴퓨터및정보통신,통신망,이동통신,케이티-삼성전자(공동),(주)제일기획,제일기획,10,중업종 기반
이십세기폭스-알리타 (TV일반),2019-01-10,15.0,서비스,문화및공연,영화,이십세기폭스코리아(주),레오버넷(주),레오버넷,11,중업종 기반
아르떼미디어 : 공주시 구이브자리 폐점상품정리,2023-06-01,30.0,유통,유통기타,유통기타,아르떼미디어(Arte media),(주)서현애드,프로덕션 모던,12,중업종 기반
월트디즈니컴퍼니코리아_블랙팬서 와칸다포에버:대개봉 수정편_15,2022-11-04,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,14,중업종 기반
TVCM,2019-03-21,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",(주)메세코리아,(주)애드맥스,애드맥스,15,중업종 기반
부산화랑협회 : 2018 부산국제화랑아트페어,2018-06-12,30.0,서비스,문화및공연,"전시, 박람회 및 학술회의",(주)애드맥스,(주)애드맥스,애드맥스,16,중업종 기반
동서식품 카누 : 바리스타편,2023-02-22,15.0,음료및기호식품,기호식품,커피및커피믹스,동서식품(주),(주)제일기획,제일기획,17,중업종 기반
