광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,광고 클러스터,추천 유형
링티 : 야근편(카카오톡딜),2021-03-30,15.0,가정용전기전자,가사용전기전자,가사용전기전자기타,링거워터,nan,nan,0,중업종 기반
에스케이브로드밴드 b tv x 넷플릭스 : 종이의 집편,2024-06-28,15.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스기타,에스케이브로드밴드주식회사,(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,1,중업종 기반
비케이알 버거킹 : 콰트로치즈 비프라구 와퍼편,2024-07-25,15.0,식품,제빵,"햄버거,피자및샌드위치",주식회사비케이알,(주)제일기획,제일기획,2,중업종 기반
케이티_KT 유튜브 프리미엄 초이스 : 당신은 초이스하셨나요_30,2022-06-27,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,zoo프로,3,중업종 기반
삼성전자 그랑데AI : 원하는 대로편,2020-06-08,15.0,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,제일기획,4,중업종 기반
세라젬 _워킹맘_30,2021-03-19,15.0,가정용전기전자,가사용전기전자,가사용전기전자기타,세라잼,대홍기획,오스카스튜디오,5,중업종 기반
케이티 DIGICO KT : AI 서빙로봇편,2021-08-13,45.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,6,중업종 기반
넷플릭스 하트 오브 스톤 : 갤 가돗의 액션 블록버스터편,2023-07-25,15.0,서비스,문화및공연,문화및공연기타,넷플릭스서비시스코리아 유한회사,주식회사 에이치에스애드,라쿤,7,중업종 기반
퍼펙트맨(TV),2019-09-25,15.0,서비스,문화및공연,영화,주식회사 쇼박스,(주)에이치에스애드,하하하 필름,8,중업종 기반
기획재정부 24년 경제정책 : 새로운 봄이 피어납니다편,2024-01-08,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,기획재정부,nan,nan,9,중업종 기반
에스케이텔레콤 SKT 기업PR : 에이닷편,2023-03-27,60.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스제품종합,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,10,중업종 기반
천안중앙시장 야시장 2019. 04,2019-03-26,20.0,서비스,문화및공연,지역 및 문화축제,싸인미디어,주식회사 비원기획,주식회사 비원기획,11,중업종 기반
아르떼미디어 콜핑 포항 폐점상품정리 : 초대합니다편,2023-10-05,30.0,유통,유통기타,유통기타,아르떼미디어(Arte media),(주)서현애드,프로덕션 모던,13,중업종 기반
2018 케토톱 (TV일반),2018-04-26,15.0,제약및의료,근육및신경통제,근육통제,주식회사 한독,레오버넷(주),대홍기획,15,중업종 기반
한국맥도날드 패밀리 캠페인 : 만나봐요편,2024-04-25,30.0,식품,제빵,"햄버거,피자및샌드위치",한국맥도날드유한회사,레오버넷(주),레오버넷,16,중업종 기반
