광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,광고 클러스터,추천 유형
한국맥도날드 피플 캠페인 : 환경편,2024-03-19,30.0,식품,제빵,"햄버거,피자및샌드위치",한국맥도날드유한회사,레오버넷(주),레오버넷,0,중업종 기반
태일이_세상을 바꾼 불꽃,2021-11-09,15.0,서비스,문화및공연,영화,(주)명필름,(주)즐거운인생열시십분사십초,비디오브라더스,1,중업종 기반
2019 김해분청도자기 특별페어,2019-12-16,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",(사)김해도예협회,(주)유프레임,(주)유프레임,2,중업종 기반
에스케이텔레콤_ SK텔레콤 갤럭시 Z 플립4 : What a wonderFlip 당신_60,2022-08-16,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,3,중업종 기반
KT : olleh TV 키즈랜드_우리아이 마음읽기_오은영의 금쪽 솔루션'편_30,2022-06-16,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,6,중업종 기반
전국천사무료급식소 정기후원 : 김장훈편,2024-03-26,60.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,전국천사무료급식소,nan,nan,7,중업종 기반
2017 지키다,2017-10-27,15.0,화장품및보건용품,"유,아동용화장및세제","유,아동용화장및세제제품종합",씨제이라이온(주),금강오길비(유),아크프로덕션,8,중업종 기반
5G(TV),2019-02-08,30.0,컴퓨터및정보통신,통신망,통신망제품종합,(주)엘지유플러스,(주)에이치에스애드,포카라크리에이티브웍스,9,중업종 기반
케이티 KT AI보이스 : 유용한 AI편,2023-08-04,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,(주)케이티,(주)제일기획,대홍기획,10,중업종 기반
청원생명 농특산물 홍보,2017-10-31,15.0,식품,농산품,농산품제품종합,청주시청,한국언론진흥재단,(주)투와이드컴퍼니,11,중업종 기반
링티 : 육아편(카카오톡딜),2021-03-30,15.0,가정용전기전자,가사용전기전자,가사용전기전자기타,링거워터,nan,nan,12,중업종 기반
삼성전자 청소기 : 가전을 나 답게편,2020-06-11,30.0,가정용전기전자,가사용전기전자,청소기,삼성전자(주),(주)제일기획,제일기획,13,중업종 기반
삼성 비스포크 그랑데 AI : 알아서 해주세요편,2021-03-10,30.0,가정용전기전자,가사용전기전자,세탁기및건조기,삼성전자(주),(주)제일기획,"로켓, 플랜잇프로덕션",14,중업종 기반
에이스메이커무비웍스_리멤버 : 대개봉_15,2022-10-19,15.0,서비스,문화및공연,영화,(주)에이스메이커무비웍스,(주)대홍기획,대홍기획,15,중업종 기반
맥도날드 1955 스모키 더블 베이컨_1955 스모키 더블 베이컨 컴백!편_15,2021-10-01,15.0,식품,제빵,"햄버거,피자및샌드위치",한국맥도날드(유),레오버넷(주),레오버넷,16,중업종 기반
한국국제통상마이스터고등학교 : 학교 홍보편,2023-09-14,20.0,교육및복지후생,교육기관,초중고등학교,한국국제통상마이스터고등학교,한국언론진흥재단,네오커뮤니케이션즈(주),17,중업종 기반
월드비전_월드비전 캠페인:혜인편_60,2022-01-25,60.0,교육및복지후생,교육및복지후생기타,교육및복지후생기타,사회복지법인월드비전,직거래,월드비전,0,대업종 확장
2019년마산대학신입생수시2차모집,2018-09-27,20.0,교육및복지후생,교육및복지후생기타,교육및복지후생기타,마산대학교,주식회사 제이에이치(JH),엔비컴,1,대업종 확장
