cluster_id,중업종 분류
0,가구류
1,가방류
2,가사용전기전자
3,가정및보건용제지
4,가정용인테리어
5,가정용전기전자기타
6,가정용품기타
7,가정용화장품
8,감기약
9,개인서비스
10,건강식품
11,건설
12,"건설,건재및부동산기타"
13,건재
14,계량기및계측기
15,고무및플라스틱
16,관공서및단체기타
17,광고및정보서비스
18,교육기관
19,교육및복지후생기타
20,구강용품
21,그룹광고
22,근육및신경통제
23,"금융,보험및증권기타"
24,금융및보험
25,기초재기타
26,기타광고
27,기호식품
28,난방기기
29,남성화장품
30,내의류
31,냉방및공기청정기
32,농림축수산용기기
33,농산품
34,농축산약제
35,농축수산기초재
36,단체
37,대사성의약
38,대용식품
39,대형유통
40,두피및피부용제
41,면류
42,모발및목욕용제
43,목재및제지
44,문화및공연
45,물품임대
46,방송
47,방취및방균제
48,방향화장품
49,"백신,구충및살충제"
50,보안기기
51,복지후생기관
52,부동산임대및매매
53,비알콜음료
54,사회교육
55,산업기기기타
56,생리피임및치질용약
57,생활잡화및기기
58,서비스기타
59,서적
60,"석탄,석유및가스"
61,세제류
62,"소형,소매유통"
63,소화위장약
64,수산품
65,수송기기기타
66,수송기기부품및용품
67,수입자동차
68,순환기관용제
69,스포츠및오락시설
70,스포츠전문복
71,승용자동차
72,승합차
73,시계
74,식품기타
75,신문
76,신발류
77,아이스크림
78,알콜음료
79,여가용S/W
80,여성기초화장품
81,여성색조화장품
82,여성썬탠류
83,여행
84,영상기기
85,오토바이
86,완구류
87,운반기기
88,운송
89,원사및원단
90,"유,아동용화장및세제"
91,유아및아동복
92,유아용교재
93,유제품
94,유통기타
95,음료및기호식품기타
96,음식및숙박
97,음향기기
98,의료기기
99,의료및보건기관
100,의료용품
101,이광학기기
102,"이비인후,치과및안과용제"
103,전기관련기계
104,전력및열
105,전문서비스
106,정장의류
107,제과
108,제빵
109,제약및의료기타
110,조명및전기소품
111,조미향신료
112,주니어화장품
113,주방용전기전자
114,주방용품
115,주식및유가증권
116,중고생용교재
117,중앙및지방관공서
118,진통제및안정제
119,초등학생용교재
120,축산품
121,출판기타
122,"취미,레저용품"
123,캐주얼의류
124,컴퓨터
125,컴퓨터S/W
126,컴퓨터게임
127,컴퓨터및정보통신기타
128,컴퓨터용품
129,통신기기
130,통신망
131,통신정보서비스
132,트럭
133,특수유통
134,패션기타
135,항공수송기기
136,화장도구
137,화장품및보건용품기타
138,화학공업기타
139,화학제품
