사용자 ID,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,시청 비율
user_1,링티 : 어린이집편,2024-07-30,15,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,70
user_1,장스푸드 크랑이치킨 : 내려온다 E태호편,2024-07-31,30,식품,축산품,치킨가공품,주식회사장스푸드,직거래,(주)장스푸드,70
user_1,한국포도협회 우리포도 : 왔구나편,2024-07-31,15,식품,농산품,과실류원산,(사)한국포도협회,(주)붐커뮤니케이션,(주)붐커뮤니케이션,70
user_1,우리이앤엘 하루틴 리포좀 멀티비타민미네랄 : 쏙편,2024-05-14,15,식품,건강식품,건강식품제품종합,우리이앤엘 (주),TBWA KOREA(주),TBWA KOREA,70
user_1,한국인삼공사 정관장 : 종합편,2024-07-31,30,식품,건강식품,건강식품제품종합,(주)한국인삼공사,(주)제일기획,제일기획,60
user_1,장스푸드 크랑이치킨 : 잔다편,2024-07-29,30,식품,식품기타,식품기타,주식회사장스푸드,직거래,(주)에스비에스엠앤씨,30
user_1,롯데리아 리아불고기 : 다들 어때편,2024-07-18,15,식품,제빵,"햄버거,피자및샌드위치",롯데지알에스주식회사,(주)대홍기획,대홍기획,20
user_1,하겐다즈 : 편의점 혜택편,2024-07-24,15,식품,아이스크림,아이스크림제품종합,한국하겐-다즈(주),미디어브랜즈코리아 주식회사,미디어브랜즈코리아 주식회사,30
user_1,씨제이제일제당 백설 덮밥소스: 세계를 요리하는 남자편,2024-07-22,30,식품,대용식품,레토르트,씨제이제일제당(주),(주)에스엠컬처앤콘텐츠 광고사업부문,주식회사 다이나믹콩콩픽쳐스,70
user_1,농심 짜파게티 : 사랑해 주셔서 감사 합니다편,2024-07-05,15,식품,면류,봉지인스턴트면류,(주)농심,(주)이노션,더스쿼드,10
user_1,더 뉴 렉스턴 스포츠 : 리얼 케이픽업 더 뉴 렉스턴 스포츠_15,2021-04-05,15,가정용전기전자,가사용전기전자,가사용전기전자기타,,,AGAIN 1945,70
user_1,더 뉴 렉스턴 스포츠 : 리얼 케이픽업 더 뉴 렉스턴 스포츠_30,2021-04-05,30,수송기기,승용자동차,승용자동차제품종합,쌍용자동차(주),(주)대홍기획,AGAIN 1945,50
user_1,The Kia EV6 : 새로운 여정의 시작편,2021-03-29,30,수송기기,승용자동차,친환경승용자동차,기아자동차(주),(주)이노션,이노션,70
user_1,지프 : 어드벤처 데이즈 80주년편_15,2021-04-05,15,수송기기,수입자동차,수입지프,크라이슬러그룹,오버맨,스페셜케미스트리,80
user_1,"지엠코리아 트랙스 크로스오버 : Life in Trax, Trax in Life편",2024-03-12,30,수송기기,승합차,소형승합차,지엠코리아(주),(주)캐러트코리아,제일기획,70
user_1,제주항공 PR : 가자 우리에겐 J가 있다 발리편,2024-07-29,15,수송기기,항공수송기기,항공기,(주)제주항공,주식회사 에이치에스애드,스튜디오 메카,67
user_1,에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,30,수송기기,수송기기부품및용품,수송기기용품,에쓰-오일(S-OIL)(주),주식회사 에이치에스애드,apc,90
user_1,넷플릭스  오징어게임2 : 레이스편,2024-07-30,15,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,56
user_1,한국타이어앤테크놀로지 티스테이션 : 스마트페이편,2024-07-30,15,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,45
user_1,메이푸드 : 특허기술편,2024-07-30,20,음료및기호식품,비알콜음료,기능성건강음료,메이푸드,(주)부산프로덕션,(주)부산프로덕션,23
user_1,한국타이어앤테크놀로지 티스테이션 : 픽업 앤 딜리버리편,2024-07-30,15,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,47
user_1,사회복지공동모금회 사랑의열매 : 폼 나는 나눔플랫폼편,2024-07-30,15,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,100
